20161202 122855050,1.0676,1.06743,0
20161202 122911497,1.06762,1.06746,0
20161202 122925293,1.06767,1.06751,0
20161202 122929856,1.06772,1.06755,0
20161202 122929996,1.06774,1.06758,0
20161202 122930808,1.06776,1.0676,0
20161202 122942334,1.06779,1.06763,0
20161202 122942411,1.06782,1.06765,0
20161202 122943658,1.06785,1.06767,0
20161202 122943721,1.06787,1.0677,0
20161202 122945559,1.06793,1.06775,0
20161202 122945804,1.06794,1.06778,0
20161202 122947169,1.06796,1.0678,0
20161202 122950978,1.06799,1.06782,0
20161202 122954890,1.06795,1.06777,0
20161202 122955639,1.06792,1.06774,0
20161202 122956590,1.0679,1.06771,0
20161202 123000039,1.06787,1.06769,0
20161202 123008588,1.06792,1.06774,0
20161202 123010105,1.068,1.06782,0
20161202 123011495,1.06794,1.06776,0
20161202 123012048,1.06791,1.06772,0
20161202 123012642,1.06792,1.06776,0
20161202 123016870,1.06795,1.06778,0
20161202 123021188,1.06792,1.06776,0
20161202 123021647,1.06787,1.06771,0
20161202 123023371,1.0679,1.06773,0
20161202 123026264,1.06787,1.0677,0
20161202 123027511,1.06785,1.06768,0
20161202 123028978,1.06787,1.0677,0
20161202 123040607,1.06783,1.06766,0
20161202 123042093,1.06777,1.06761,0
20161202 123045253,1.06775,1.06758,0
20161202 123046028,1.06772,1.06755,0
20161202 123048133,1.06775,1.06758,0
20161202 123048248,1.06777,1.06761,0
20161202 123049985,1.06772,1.06756,0
20161202 123050635,1.06772,1.06756,0
20161202 123051135,1.06772,1.06756,0
20161202 123053014,1.0677,1.06753,0
20161202 123053747,1.06767,1.0675,0
20161202 123054631,1.06764,1.06747,0
20161202 123055692,1.06762,1.06744,0
20161202 123056160,1.06759,1.06743,0
20161202 123056340,1.06761,1.06745,0
20161202 123058033,1.06759,1.06743,0
20161202 123059084,1.06762,1.06746,0
20161202 123102348,1.0677,1.06754,0
20161202 123102460,1.06773,1.06757,0
20161202 123105562,1.06771,1.06753,0
20161202 123106451,1.06768,1.06751,0
20161202 123108189,1.06765,1.06749,0
20161202 123121263,1.06763,1.06746,0
20161202 123125244,1.0676,1.06743,0
20161202 123141130,1.06762,1.06746,0
20161202 123142716,1.0676,1.06744,0
20161202 123143059,1.06757,1.06741,0
20161202 123143559,1.06757,1.06741,0
20161202 123145808,1.0676,1.06743,0
20161202 123146063,1.06758,1.06741,0
20161202 123148824,1.0676,1.06743,0
20161202 123152405,1.06766,1.06747,0
20161202 123203319,1.06767,1.06751,0
20161202 123203661,1.06769,1.06754,0
20161202 123203891,1.06768,1.0675,0
20161202 123211161,1.06765,1.06748,0
20161202 123211220,1.06763,1.06746,0
20161202 123225132,1.06765,1.06748,0
20161202 123226175,1.06762,1.06747,0
20161202 123226440,1.06759,1.06745,0
20161202 123227179,1.06757,1.06742,0
20161202 123227431,1.06763,1.06743,0
20161202 123233247,1.0676,1.06744,0
20161202 123233973,1.06756,1.06742,0
20161202 123234819,1.06759,1.06744,0
20161202 123246639,1.06756,1.0674,0
20161202 123252146,1.06758,1.06743,0
20161202 123252331,1.06762,1.06746,0
20161202 123253770,1.0676,1.06744,0
20161202 123257954,1.06762,1.06746,0
20161202 123258367,1.06756,1.06736,0
20161202 123300530,1.06757,1.0674,0
20161202 123304665,1.06758,1.06743,0
20161202 123305669,1.06752,1.06735,0
20161202 123307548,1.06749,1.06732,0
20161202 123307809,1.06751,1.06735,0
20161202 123308854,1.06755,1.06738,0
20161202 123311164,1.06753,1.06737,0
20161202 123312058,1.06751,1.06734,0
20161202 123312400,1.06748,1.06732,0
20161202 123317036,1.06745,1.06729,0
20161202 123319065,1.06748,1.06732,0
20161202 123319240,1.0675,1.06735,0
20161202 123322495,1.06753,1.06736,0
20161202 123323060,1.06753,1.06736,0
20161202 123323560,1.06753,1.06736,0
20161202 123331790,1.0675,1.06733,0
20161202 123332723,1.06747,1.06731,0
20161202 123346653,1.06751,1.06733,0
20161202 123346812,1.06753,1.06736,0
20161202 123347038,1.06756,1.06739,0
20161202 123354897,1.06753,1.06736,0
20161202 123358135,1.06747,1.06731,0
20161202 123402137,1.06746,1.06728,0
20161202 123403819,1.06751,1.06733,0
